freq[Hz];re:Trc2_S22;im:Trc2_S22;re:Trc3_Z<-S21[Ohm];im:Trc3_Z<-S21[Ohm];
1,059211863263078E+005;1,657815588945990E-001;-3,511797995667982E-002;4,007749327834185E+001;-1,611464220091067E+001;
1,061398032915147E+005;1,670252550065947E-001;-3,334527938251716E-002;3,991344076488969E+001;-1,613646627493156E+001;
1,063588714731320E+005;1,663572744968357E-001;-3,465476590952907E-002;3,996198325887099E+001;-1,584570731378034E+001;
1,085745760307466E+005;1,656078838195385E-001;-3,183421497704227E-002;3,968716300523440E+001;-1,598397086718158E+001;
1,108364389070670E+005;1,646971356041945E-001;-3,228587883588623E-002;3,976976137182348E+001;-1,552222475086806E+001;
1,131454216880492E+005;1,635379513583540E-001;-3,112761316480575E-002;3,965029382372069E+001;-1,557635038813086E+001;
1,155025059917386E+005;1,617913924463404E-001;-3,138811135722928E-002;3,946586352381985E+001;-1,496047844991056E+001;
1,179086938855849E+005;1,616946167743134E-001;-3,017331455817257E-002;3,939258664264349E+001;-1,483784576911016E+001;
1,203650083124513E+005;1,616562766871563E-001;-2,874180645483611E-002;3,924476066620392E+001;-1,481956504384299E+001;
1,228724935254980E+005;1,609587671210113E-001;-2,788441399257867E-002;3,906856279939356E+001;-1,463850454216694E+001;
1,254322155321262E+005;1,604052768123590E-001;-2,628074199391164E-002;3,891041900148969E+001;-1,447563113741735E+001;
1,280452625471695E+005;1,607109602678168E-001;-2,523159085446244E-002;3,900819581867063E+001;-1,440665211860302E+001;
1,307127454555265E+005;1,598764588191215E-001;-2,391716981019235E-002;3,884265957024758E+001;-1,406029377487146E+001;
1,334357982844322E+005;1,581655295089848E-001;-2,282379600019684E-002;3,875990677282360E+001;-1,394762802541654E+001;
1,362155786855664E+005;1,579792015636869E-001;-2,067518912890113E-002;3,860877579354218E+001;-1,377192512174708E+001;
1,390532684272065E+005;1,569512443582811E-001;-1,943056559540625E-002;3,846296946866755E+001;-1,362091186498060E+001;
1,419500738966327E+005;1,570680410252664E-001;-1,862542471530139E-002;3,844082059422325E+001;-1,333772741217735E+001;
1,449072266129997E+005;1,575765309353352E-001;-1,711497495773760E-002;3,818419793945890E+001;-1,324276975201866E+001;
1,479259837508921E+005;1,578158752763159E-001;-1,597654230279847E-002;3,808229771029454E+001;-1,302283190307611E+001;
1,510076286747881E+005;1,583888869165339E-001;-1,535084346605952E-002;3,802344020726426E+001;-1,291611343366874E+001;
1,541534714846549E+005;1,575817004941552E-001;-1,489262329321405E-002;3,788120906831284E+001;-1,286686455557624E+001;
1,573648495729130E+005;1,583912464131758E-001;-1,335963830280099E-002;3,769202999159074E+001;-1,241880797362969E+001;
1,606431281930008E+005;1,577070699371922E-001;-1,152975537839036E-002;3,766630574261134E+001;-1,238092117867283E+001;
1,639897010397860E+005;1,578052016391312E-001;-1,035937890549270E-002;3,758302040286429E+001;-1,213438024239327E+001;
1,674059908420663E+005;1,582618097706904E-001;-8,459449730392369E-003;3,746571667222571E+001;-1,196507357474463E+001;
1,708934499674148E+005;1,584615038070364E-001;-6,618040340996236E-003;3,727716976562468E+001;-1,171161127496134E+001;
1,744535610396252E+005;1,590336774026724E-001;-6,508886020284512E-003;3,732460794242562E+001;-1,171168580952110E+001;
1,780878375690188E+005;1,592354919079868E-001;-5,772648811148963E-003;3,732585399520113E+001;-1,134002551253309E+001;
1,817978245958845E+005;1,599504342657891E-001;-4,201765297914820E-003;3,708448886243286E+001;-1,138111298958104E+001;
1,855850993473214E+005;1,607611825644602E-001;-3,794611281404140E-003;3,706233305054755E+001;-1,124668922503062E+001;
2,280800606036249E+005;1,651035586806949E-001;5,447758761741922E-003;3,625927818970544E+001;-9,752240093763549E+000;
2,803054460078015E+005;1,734333025830629E-001;1,126985900178889E-002;3,532833227691782E+001;-8,281665444052635E+000;
3,444893115763393E+005;1,809241728067804E-001;1,281469516045969E-002;3,490773288900920E+001;-6,930055478867446E+000;
4,233698898131192E+005;1,864821329449511E-001;1,301288361788048E-002;3,438595027512545E+001;-6,263137390170679E+000;
5,203124090561292E+005;1,913288760743938E-001;1,175492071353696E-002;3,410765091036328E+001;-5,288436643405894E+000;
6,394526619200384E+005;1,937865140022950E-001;9,393773256749253E-003;3,370409211933102E+001;-4,686745375395896E+000;
7,858734477972306E+005;1,945302631770671E-001;7,032751260695302E-003;3,353204207654045E+001;-4,163833327032132E+000;
9,658214168634364E+005;1,956760741568832E-001;4,913631043323866E-003;3,313976193394205E+001;-3,789276695006636E+000;
1,186973566655961E+006;1,954476831177226E-001;3,098300656673737E-003;3,291611572327946E+001;-3,378532419819653E+000;
1,458764760586361E+006;1,954241729443418E-001;1,183596571932655E-003;3,254553293685359E+001;-2,998832389313926E+000;
1,792790241086624E+006;1,938927584565438E-001;5,467004235688272E-004;3,233695666668109E+001;-2,797977916259249E+000;
2,203300309532768E+006;1,907724490919759E-001;1,106608243551801E-004;3,205986432276671E+001;-2,571070818956437E+000;
2,707808277138329E+006;1,862323970167271E-001;2,395746362352754E-003;3,187003049675118E+001;-2,403139940159701E+000;
3,327837623412187E+006;1,814528225654819E-001;6,877880987062207E-003;3,150472693663465E+001;-2,164453827124111E+000;
4,089840237692698E+006;1,766736961856671E-001;1,863715238322499E-002;3,135032417691912E+001;-2,008509913495026E+000;
5,026324918070825E+006;1,819550485489498E-001;3,974049255309923E-002;3,083114064956902E+001;-1,861515761580323E+000;
6,177244272082489E+006;2,088755653506000E-001;5,581076707073648E-002;3,041364020558510E+001;-1,732318072684046E+000;
7,591699187568951E+006;2,412323448407810E-001;4,579215727213869E-002;2,994040789593154E+001;-1,210384069744045E+000;
9,330033590383764E+006;2,577490466917784E-001;2,315468648997396E-002;2,977439750420220E+001;-6,981541991749228E-001;
1,146640885616604E+007;2,629052218762492E-001;1,308714233294471E-003;2,956768772351205E+001;-2,846623775219334E-001;
1,409196770655518E+007;2,645915844116026E-001;-1,804153855468587E-002;2,933432825421622E+001;4,071594270594160E-001;
1,731872256899386E+007;2,619955691553446E-001;-3,782335139351247E-002;2,927503977809522E+001;1,038923193575891E+000;
2,128433428656338E+007;2,579669482256590E-001;-5,738363388811536E-002;2,902468553089625E+001;1,860014129397311E+000;
2,615798504869159E+007;2,511391391167806E-001;-7,752577414351482E-002;2,882217358911927E+001;2,908707729682409E+000;
3,214759609557188E+007;2,409055734329280E-001;-1,004655665696853E-001;2,883867949448671E+001;3,876171900257213E+000;
3,950869812029820E+007;2,251939970118609E-001;-1,250622550997501E-001;2,885003769050007E+001;5,085286810832204E+000;
4,855533280063387E+007;2,040615191987028E-001;-1,498251117082780E-001;2,880989965368065E+001;6,290567650838361E+000;
3,816621521728332E+008;-1,288284668801876E-002;1,699480488244550E-001;2,604484588332554E+001;4,542859476138040E+001;
3,000000000000000E+009;1,606526687619811E-001;-4,225017823065893E-001;-2,408205630617229E+002;9,072655052090575E+000;